Campo;Descripcion
V413;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_otro_líquido_como_bebidas_gaseosas,_caldo
V412B;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_otros_cereales
V414B;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_papillas_de_programas_sociales
V414N;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_pescado_o_mariscos
V414P;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_queso,_yogurt_u_otros_productos_lácteos_(leche_asada,_helados,_crema_volteada,_etc.)
V410A;Ayer_durante_el_dìa_o_la_noche_dio_al_niño_té_o_café
V414M;Ayer_durante_el_dìa_o_la_noche_dio_hígado,_corazón_y_otros_órganos_al_niño
V410;Ayer_durante_el_dìa_o_la_noche_dio_jugo_de_fruta_al_niño
S492D;Ayer_el_niño(a)_durante_el_día_o_la_noche_bebió:_cualquier_otra_leche_(fresca,_evaporada_o_en_polvo)
S492G;Ayer_el_niño(a)_durante_el_día_o_la_noche_bebió:_cualquier_otro_líquido_como_bebidas_gaseosas,_caldo
S492B;Ayer_el_niño(a)_durante_el_día_o_la_noche_bebió:_Leche_en_polvo_(NAM,S26,_SIMILAC,_etc)
S492C;Ayer_el_niño(a)_durante_el_día_o_la_noche_bebió:_Leche_materna_refrigerada
S492A;Ayer_el_niño(a)_durante_el_día_o_la_noche_bebió:_Solo_agua
S492F;Ayer_el_niño(a)_durante_el_día_o_la_noche_bebió:_Té_Café
S492E;Ayer_el_niño(a)_durante_el_día_o_la_noche_bebió:_Zumo_de_frutas
S493B;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_camote,_zapallo,_zanahoria
S493I;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_carne,_pollo,_pescado
S493D;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_comida_hecha_de_tubérculos,_raíces_(papa,_yuca,_olluco,_oca,_mashua)
S493P;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_Cualquier_alimento_dulce,_caramelo,_chocolates_u_otros
S493L;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_cualquier_comida_hecha_alimentos_hechos_con_aceite,_manteca,_mantequilla,_o_al_que_le_agregó_aceite_manteca,_mantequilla
S493N;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_cualquier_otra_comida_sòlida_o_semisòlida_Otros_alimentos_sólidos_o_semisólidos
S493C;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_habas,_frijol,_lenteja,_soya,_pallares,_garbanzos,_alrvejas
S493A;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_harina,_pan,_fideos,_galletas_o_comida_hecha_de_cereales
S493J;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_huevos
S493F;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_mango,_papaya,_aguaje
S493G;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_naranja,_mandarina,_maracuyá,_toronja,_etc.
S493H;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_Otras_frutas_(bananas,_manzanas,_etc.)
S493O;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_Otras_frutas_secas
S493M;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_papilla_de_programas_sociales
S493K;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_queso,_yogurt,_helado_u_otros_alimentos_preparados_con_leche_(leche_asada,_helados,_crema_volteada,_etc.)
S493E;Ayer_el_niño(a)_durante_el_día_o_la_noche_comió:_verduras_(espinacas,_acelgas,_etc.)
S495A;Ayer_el_niño_no_recibe_líquidos_o_sólidos_excepto_la_leche_materna
B1;B1-Mes_de_nacimiento
B2;B2-Año_de_nacimiento
B3;B3-Fecha_de_nacimiento,_Codificación_centenaria_de_meses_(CMC)
B13;Bandera_para_la_edad_en_la_muerte
V160;Baño_compartido_con_otros_hogares
Q1040B;brazo
H12A;Busco_D97:D148_para_la_diarrea:_hospital_MINSA
H12U;Busco_tratamiento_para_la_diarrea:_amigo/pariente
H12O;Busco_tratamiento_para_la_diarrea:_botiquín_popular
H12B;Busco_tratamiento_para_la_diarrea:_centro_de_salud_MINSA
H12P;Busco_tratamiento_para_la_diarrea:_clínica/Posta_de_ONG
H12D;Busco_tratamiento_para_la_diarrea:_clínica_móvil
H12M;Busco_tratamiento_para_la_diarrea:_clínica_móvil_privado
H12J;Busco_tratamiento_para_la_diarrea:_clínica_particular
H12S;Busco_tratamiento_para_la_diarrea:_comprar
H12L;Busco_tratamiento_para_la_diarrea:_consultorio_médico_particular
H12T;Busco_tratamiento_para_la_diarrea:_curandero
H12K;Busco_tratamiento_para_la_diarrea:_farmacia/botica
H12Q;Busco_tratamiento_para_la_diarrea:_hospital/Otro_de_la_iglesia
H12I;Busco_tratamiento_para_la_diarrea:_hospital/otro_de_la_Municipalidad
H12F;Busco_tratamiento_para_la_diarrea:_hospital_ESSALUD
H12G;Busco_tratamiento_para_la_diarrea:_hospital_FF.AA._-_P.N.P.
H12R;Busco_tratamiento_para_la_diarrea:_otra
H12X;Busco_tratamiento_para_la_diarrea:_Otro
H12H;Busco_tratamiento_para_la_diarrea:_policlìnico/centro/posta_ESSALUD
H12E;Busco_tratamiento_para_la_diarrea:_promotor_de_salud
H12C;Busco_tratamiento_para_la_diarrea:_puesto_de_salud_MINSA
H12Y;Busco_tratamiento_para_la_diarrea:_sin_tratamiento
H12N;Busco_tratamiento_para_la_diarrea:_trabajador_de_la_salud
H12Z;Busco_tratamiento_para_la_diarrea:_tratamiento_médico
VCAL;Calendario
QS207C;Cantidad__Edad_primera_vez_que_tomo_bebidas_alcohólicas
QS204C;Cantidad_años
QS220CC;Cantidad_cucharadas
HV246G;Cantidad_de:_aves_de_corral
HV246C;Cantidad_de:_caballos,_burros,_mulas
HV246D;Cantidad_de:_cabras
HV246I;Cantidad_de:_cerdos
HV246H;Cantidad_de:_cuyes/conejos
HV246A;Cantidad_de:_ganado
HV246J;Cantidad_de:_otros
HV246E;Cantidad_de:_ovejas
HV246F;Cantidad_de:_pollos
HV246B;Cantidad_de:_vacas,_toros
QS205C;Cantidad_de_cigarrillos
S466C;Cantidad_de_controles_de_crecimiento_de_control
S472B;Cantidad_de_deposiciones_en_el_peor_día_de_diarrea
QS217C;Cantidad_de_días_ensalada_frutas
QS213C;Cantidad_de_días_que_consumió_frutas
QS215C;Cantidad_de_días_tomó_jugo_de_frutas
S422I;Cantidad_de_inyecciones_de_hierro_recibidas_durante_el_embarazo
QS214C;Cantidad_de_tajadas_o_racimos_de_fruta_que_comió
QS216C;Cantidad_de_vasos_de_jugo_que_tomo
QS218C;Cantidad_porciones_ensalada_frutas
QS220CV;Cantidad_porciones_ensalada_verduras
QS211C;Cantidad_Veces_que_tomo
V838B;Charla_durante_la_visita_prenatal:_Cosas_que_hacer_para_prevenir_el_SIDA
V838C;Charla_durante_la_visita_prenatal:_Hacerse_la_prueba_del_virus_del_SIDA
V838A;Charla_durante_la_visita_prenatal:_SIDA_transmitido_de_madre_a_hijo
MM8;CMC_fecha_de_fallecimiento_de_su_hermano(a)
MM4;CMC_fecha_de_nacimiento_del_hermano(a)
V481;Cobertura_de_seguro_de_salud
HC57;Cod_Nivel_de_anemia
HV104;Cod_Sexo
V421;Código_de_asistente_de_registrador
V420;Código_de_registrador
UBIGEO;Código_de_Ubicación_Gegráfica
HV000;Código_del_país
QS20C;Codigo_persona_seleccionada
QSRESULT;Codigo_resultado_final
V231;Código_siglo_meses_de_la_terminación_del_último_embarazo_CMC
V000;Código_y_fase_del_país
V018;Columna_del_mes_de_la_entrevista
V468;Columnas_usadas_solo_para_variables_del_último_nacimiento
S494B;Come_la_papilla_de_programas_sociales
HV239;Comida_cocinada_en_estufa_o_fuego_abierto
HV241;Comida_preparada_en_la_casa,_en_edificio_separado_o_al_aire_libre
S317C;Cómo_determinar_días_de_fertilidad
V538;Cómo_terminó_el_matrimonio_o_la_unión_anterior
S426GD;Complicaciones_de_parto:_Convulsiones
S426GC;Complicaciones_de_parto:_Fiebre_con_sangrado_vaginal
S426GE;Complicaciones_de_parto:_Otras
S426GA;Complicaciones_de_parto:_Parto_prolongado
S426GB;Complicaciones_de_parto:_Sangrado_excesivo
S427DE;Complicaciones_después_del_parto:_dolor_al_orinar
S427DC;Complicaciones_después_del_parto:_fiebre_alta,_escalofríos
S427DF;Complicaciones_después_del_parto:_flujos_vaginales
S427DD;Complicaciones_después_del_parto:_infección_de_los_senos
S427DB;Complicaciones_después_del_parto:_pérdida_de_conciencia
S427DG;Complicaciones_después_del_parto:_Pérdida_involuntaria_de_orina
S427DA;Complicaciones_después_del_parto:_sangrado_intenso
V825;Compraría_verduras_o_frutas_si_supiera_que_el_vendedor_está_infectado_con_el_virus_que_causa_el_SIDA
QS104;Compraron_medicamentos_para_controlar_su_Presión_Alta
S446AA;Con_cuanto_tiempo_de_anticipación_preparó_el_biberón
V836;Con_cuantos_hombres_ha_tenido_relaciones_sexuales_(últimos_12_meses)
D112A;Con_qué_frecuencia_lastimó_físicamente_a_su_esposo/compañero__en_los_últimos_12_meses
SH56;Con_qué_frecuencia_se_limpia_el_baño_o_la_letrina?
SH59;Con_qué_frecuencia_se_recoge_la_basura?
D114;Con_qué_frecuencia_su_esposo/compañero_toma_bebidas_alcohólicas
B9;Con_quien_vive_el_niño
HV001;Conglomerado
V001;Conglomerado_V001
V846;Conoce_a_alguien_abusado_verbalmente_a_causa_del_SIDA_en_los_últimos_12_meses
V845;Conoce_a_alguien_negado_eventos_socialesa_causa_del_SIDA_en_los_últimos_12_meses
V844;Conoce_a_alguien_que_le_negaron_servicios_de_salud_a_causa_del_SIDA_en_los_últimos_12_meses
V775;Conoce_a_alguien_que_tiene_o_murió_de_SIDA
S1026;Conoce_el_caso_de_alguna_vecina,_conocida_o_familiar_que_ha_muerto_por_violencia_de_su_pareja_o_expareja
S815AD;Conoce_la_ETS:_Chancro
S815AB;Conoce_la_ETS:_gonorrea
S815AE;Conoce_la_ETS:_Herpes
S815AZ;Conoce_la_ETS:_No_sabe
S815AX;Conoce_la_ETS:_Otros
S815AA;Conoce_la_ETS:_sífilis
S815AC;Conoce_la_ETS:_verrugas_genitales/condiloma
QS28;Conoce_o_ha_oído_hablar_de_la_tuberculosis_o_TBC
QS503;Conoce_o_ha_oído_hablar_de_una_enfermedad_llamada_tuberculosis_o_TBC
V783;Conoce_usted_algún_un_lugar_donde_se_pueda_hacer_la_prueba_para_saber_si_tiene_el_virus_que_causa_el_del_SIDA
V301;Conocimiento_de_cualquier_método
S229DF;Conocimiento_de_Seguro_Integral_por:_club_de_madres
S229DX;Conocimiento_de_Seguro_Integral_por:_otros
S229DA;Conocimiento_de_Seguro_Integral_por:_TV
V217;Conocimiento_del_ciclo_ovulatorio
S229DC;Conocimiento_del_Seguro_Integral_por:_periódicos
S229DD;Conocimiento_del_Seguro_Integral_por:_personal_de_salud
S229DB;Conocimiento_del_Seguro_Integral_por:_radio
QS604;Conoció_los_resultados_del_examen_de_laboratorio
HA64;Consentimiento_para_pruebas_adicionales
QS831;Considera_que_la_niña(o)_tiene_buena_iluminación_en_el_ambiente_donde_lee
V631;Considera_si_queda_embarazada:
S229K;Control_de_embarazo_en:_clínica/posta_de_ONG
S229J;Control_del_embarazo_en:_casa_de_partera
S229F;Control_del_embarazo_en:_center/post_ESSALUD
S229D;Control_del_embarazo_en:_centro_de_salud_MINSA
S229H;Control_del_embarazo_en:_Clínica_privada
S229L;Control_del_embarazo_en:_hospital/otro_de_la_iglesia
S229G;Control_del_embarazo_en:_Hospital/Otro_gobierno_local.
S229B;Control_del_embarazo_en:_hospital_ESSALUD
S229C;Control_del_embarazo_en:_hospital_FFAA_&_PNP
S229A;Control_del_embarazo_en:_hospital_MINSA
S229I;Control_del_embarazo_en:_Médico_particular
S229X;Control_del_embarazo_en:_otro
S229E;Control_del_embarazo_en:_puesto_de_salud_MINSA
V325A;Costo_del_método_actual
QS404;Cree_que_el_virus_papiloma_humano_causa_el_cáncer_uterino
S802D;Cree_Ud._que_la_gente_puede_contraer_el_SIDA_(VIH)_a_través_de_abrazos_o_caricias_a_una_persona_infectada
S802E;Cree_Ud._que_la_gente_puede_contraer_el_SIDA_(VIH)_a_través_de_utensilios_compartidos_con_una_persona_infectada
S802I;Cree_Ud._que_la_gente_puede_contraer_el_SIDA_(VIH)_por_el_castigo_divino
S802H;Cree_Ud._que_se_puede_contraer_el_SIDA_(VIH)_a_través_de_la_brujería
